Symbol,Name,Exchange,Sector,Industry
20MICRONS.NS,20 Microns Limited,NSE,Basic Materials,Other Industrial Metals & Mining
AARTIIND.NS,Aarti Industries Limited,NSE,Basic Materials,Specialty Chemicals
AARTISURF.NS,Aarti Surfactants Limited,NSE,Basic Materials,Specialty Chemicals
ABMINTLLTD.NS,ABM International Limited,NSE,Basic Materials,Specialty Chemicals
ACC.NS,ACC Limited,NSE,Basic Materials,Building Materials
ACI.NS,Archean Chemical Industries Limited,NSE,Basic Materials,Chemicals
ADVENZYMES.NS,Advanced Enzyme Technologies Limited,NSE,Basic Materials,Specialty Chemicals
AETHER.NS,Aether Industries Limited,NSE,Basic Materials,Specialty Chemicals
AGARIND.NS,Agarwal Industrial Corporation Limited,NSE,Basic Materials,Specialty Chemicals
AGROPHOS.NS,Agro Phos (India) Limited,NSE,Basic Materials,Agricultural Inputs
AKSHARCHEM.NS,AksharChem (India) Limited,NSE,Basic Materials,Specialty Chemicals
AKZOINDIA.NS,Akzo Nobel India Limited,NSE,Basic Materials,Specialty Chemicals
ALKALI.NS,Alkali Metals Limited,NSE,Basic Materials,Specialty Chemicals
ALKYLAMINE.NS,Alkyl Amines Chemicals Limited,NSE,Basic Materials,Specialty Chemicals
AMBUJACEM.NS,Ambuja Cements Limited,NSE,Basic Materials,Building Materials
AMIORG.NS,Ami Organics Limited,NSE,Basic Materials,Specialty Chemicals
AMNPLST.NS,Amines & Plasticizers Limited,NSE,Basic Materials,Chemicals
ANDHRAPAP.NS,Andhra Paper Limited,NSE,Basic Materials,Paper & Paper Products
ANDHRSUGAR.NS,The Andhra Sugars Limited,NSE,Basic Materials,Chemicals
ANKITMETAL.NS,Ankit Metal & Power Limited,NSE,Basic Materials,Steel
ANURAS.NS,Anupam Rasayan India Limited,NSE,Basic Materials,Specialty Chemicals
APCL.NS,Anjani Portland Cement Limited,NSE,Basic Materials,Building Materials
APCOTEXIND.NS,Apcotex Industries Limited,NSE,Basic Materials,Specialty Chemicals
APLAPOLLO.NS,APL Apollo Tubes Limited,NSE,Basic Materials,Steel
ARCHIDPLY.NS,Archidply Industries Limited,NSE,Basic Materials,Lumber & Wood Production
ARENTERP.NS,Rajdarshan Industries Limited,NSE,Basic Materials,Other Industrial Metals & Mining
ARIES.NS,Aries Agro Limited,NSE,Basic Materials,Agricultural Inputs
ARVEE.NS,Arvee Laboratories (India) Ltd.,NSE,Basic Materials,Specialty Chemicals
ASAHISONG.NS,Asahi Songwon Colors Limited,NSE,Basic Materials,Specialty Chemicals
ASHAPURMIN.NS,Ashapura Minechem Limited,NSE,Basic Materials,Other Industrial Metals & Mining
ASHOKAMET.NS,Ashoka Metcast Limited,NSE,Basic Materials,Steel
ASIANPAINT.NS,Asian Paints Limited,NSE,Basic Materials,Specialty Chemicals
ASTEC.NS,Astec LifeSciences Limited,NSE,Basic Materials,Agricultural Inputs
ASTRON.NS,Astron Paper & Board Mill Limited,NSE,Basic Materials,Paper & Paper Products
ATUL.NS,Atul Ltd,NSE,Basic Materials,Specialty Chemicals
AVTNPL.NS,AVT Natural Products Limited,NSE,Basic Materials,Specialty Chemicals
BALAMINES.NS,Balaji Amines Limited,NSE,Basic Materials,Specialty Chemicals
BANSALWIRE.NS,,NSE,Basic Materials,Steel
